run_label,run_type,eid,probe,ks_dir,cluster_id,n_spikes,firing_rate_hz,median_depth_um,depth_band_250um,cluster_label,session_brain_regions,session_good_brain_regions
4fa70097_probe00_20260708_145454,full,4fa70097-8101-4f10-b585-db39429c5ed0,probe00,G:\academic\week8_kilosort4_runs\4fa70097_probe00_20260708_145454\kilosort4,0,2015,0.547725154724881,27.907793045043945,0000-0250,unknown,void;SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-un5;SSp-un6a;SSp-un6b;ccb;alv;CA1;CA2;CA3;root;LGd-co;LD;LP;VPM;PO,SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-un6a;CA1;CA2;CA3;LGd-co;LD;LP;PO;VPM
4fa70097_probe00_20260708_145454,full,4fa70097-8101-4f10-b585-db39429c5ed0,probe00,G:\academic\week8_kilosort4_runs\4fa70097_probe00_20260708_145454\kilosort4,1,2743,0.745612952560967,37.90926742553711,0000-0250,unknown,void;SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-un5;SSp-un6a;SSp-un6b;ccb;alv;CA1;CA2;CA3;root;LGd-co;LD;LP;VPM;PO,SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-un6a;CA1;CA2;CA3;LGd-co;LD;LP;PO;VPM
4fa70097_probe00_20260708_145454,full,4fa70097-8101-4f10-b585-db39429c5ed0,probe00,G:\academic\week8_kilosort4_runs\4fa70097_probe00_20260708_145454\kilosort4,2,5648,1.5352613766184258,36.113983154296875,0000-0250,unknown,void;SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-un5;SSp-un6a;SSp-un6b;ccb;alv;CA1;CA2;CA3;root;LGd-co;LD;LP;VPM;PO,SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-un6a;CA1;CA2;CA3;LGd-co;LD;LP;PO;VPM
4fa70097_probe00_20260708_145454,full,4fa70097-8101-4f10-b585-db39429c5ed0,probe00,G:\academic\week8_kilosort4_runs\4fa70097_probe00_20260708_145454\kilosort4,3,8039,2.185192317038868,24.9099178314209,0000-0250,unknown,void;SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-un5;SSp-un6a;SSp-un6b;ccb;alv;CA1;CA2;CA3;root;LGd-co;LD;LP;VPM;PO,SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-un6a;CA1;CA2;CA3;LGd-co;LD;LP;PO;VPM
4fa70097_probe00_20260708_145454,full,4fa70097-8101-4f10-b585-db39429c5ed0,probe00,G:\academic\week8_kilosort4_runs\4fa70097_probe00_20260708_145454\kilosort4,4,31162,8.470576313417737,37.200584411621094,0000-0250,unknown,void;SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-un5;SSp-un6a;SSp-un6b;ccb;alv;CA1;CA2;CA3;root;LGd-co;LD;LP;VPM;PO,SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-un6a;CA1;CA2;CA3;LGd-co;LD;LP;PO;VPM
4fa70097_probe00_20260708_145454,full,4fa70097-8101-4f10-b585-db39429c5ed0,probe00,G:\academic\week8_kilosort4_runs\4fa70097_probe00_20260708_145454\kilosort4,5,33255,9.039503732196486,25.032672882080078,0000-0250,unknown,void;SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-un5;SSp-un6a;SSp-un6b;ccb;alv;CA1;CA2;CA3;root;LGd-co;LD;LP;VPM;PO,SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-un6a;CA1;CA2;CA3;LGd-co;LD;LP;PO;VPM
4fa70097_probe00_20260708_145454,full,4fa70097-8101-4f10-b585-db39429c5ed0,probe00,G:\academic\week8_kilosort4_runs\4fa70097_probe00_20260708_145454\kilosort4,6,36947,10.043077564079493,25.26528549194336,0000-0250,unknown,void;SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-un5;SSp-un6a;SSp-un6b;ccb;alv;CA1;CA2;CA3;root;LGd-co;LD;LP;VPM;PO,SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-un6a;CA1;CA2;CA3;LGd-co;LD;LP;PO;VPM
4fa70097_probe00_20260708_145454,full,4fa70097-8101-4f10-b585-db39429c5ed0,probe00,G:\academic\week8_kilosort4_runs\4fa70097_probe00_20260708_145454\kilosort4,7,40224,10.933844478240006,35.9576301574707,0000-0250,unknown,void;SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-un5;SSp-un6a;SSp-un6b;ccb;alv;CA1;CA2;CA3;root;LGd-co;LD;LP;VPM;PO,SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-un6a;CA1;CA2;CA3;LGd-co;LD;LP;PO;VPM
4fa70097_probe00_20260708_145454,full,4fa70097-8101-4f10-b585-db39429c5ed0,probe00,G:\academic\week8_kilosort4_runs\4fa70097_probe00_20260708_145454\kilosort4,8,3492,0.9492090522577095,75.05860900878906,0000-0250,unknown,void;SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-un5;SSp-un6a;SSp-un6b;ccb;alv;CA1;CA2;CA3;root;LGd-co;LD;LP;VPM;PO,SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-un6a;CA1;CA2;CA3;LGd-co;LD;LP;PO;VPM
4fa70097_probe00_20260708_145454,full,4fa70097-8101-4f10-b585-db39429c5ed0,probe00,G:\academic\week8_kilosort4_runs\4fa70097_probe00_20260708_145454\kilosort4,9,4074,1.1074105609673277,53.04703903198242,0000-0250,unknown,void;SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-un5;SSp-un6a;SSp-un6b;ccb;alv;CA1;CA2;CA3;root;LGd-co;LD;LP;VPM;PO,SSp-tr2/3;SSp-tr4;SSp-tr5;SSp-un6a;CA1;CA2;CA3;LGd-co;LD;LP;PO;VPM
